Company,Agency,Seniority,Rating Code,Market,Rating,Rating Date,Watch Code,Watch Eff Date,Outlook,Outlook Eff Date,Rating Endorsement,Affirmation Date
A2dominion Housing Group Ltd,Fitch,Long-term Issuer Rating,FIS,Foreign,AA-,2013-09-19,,,,,,
A2dominion Housing Group Ltd,Fitch,Long-term Issuer Rating,FIS,Domestic,WD,2013-12-13,--,,Neg,2013-09-19,EUR,
A2dominion Housing Group Ltd,Fitch,Long-term Issuer Rating,FIS,Domestic,AA-,2013-09-19,,,,,,
A2dominion Housing Group Ltd,Fitch,Short-term Issuer Default Rating,FDS,Foreign,F1+,2019-11-07,--,,--,,EUEUKR,2025-10-17
A2dominion Housing Group Ltd,Fitch,Short-term Issuer Default Rating,FDS,Foreign,F1,2014-11-14,,,,,,
A2dominion Housing Group Ltd,Fitch,Short-term Issuer Default Rating,FDS,Foreign,F1+,2013-09-19,,,,,,
A2dominion Housing Group Ltd,Fitch,Short-term Issuer Default Rating,FDS,Domestic,F1+,2020-11-02,--,,--,,--,2022-10-31
A2dominion Housing Group Ltd,Fitch,Long-term Issuer Default Rating,FDL,Foreign,A,2020-11-02,--,,Neg,2025-10-17,EUEUKR,2025-10-17
A2dominion Housing Group Ltd,Fitch,Long-term Issuer Default Rating,FDL,Foreign,A+,2014-11-14,,,,,,
A2dominion Housing Group Ltd,Fitch,Long-term Issuer Default Rating,FDL,Foreign,AA-,2013-09-19,,,,,,
A2dominion Housing Group Ltd,Fitch,Long-term Issuer Default Rating,FDL,Domestic,A,2020-11-02,--,,Neg,2025-10-17,EUEUKR,2025-10-17
A2dominion Housing Group Ltd,Fitch,Long-term Issuer Default Rating,FDL,Domestic,A+,2014-11-14,,,,,,
A2dominion Housing Group Ltd,Fitch,Long-term Issuer Default Rating,FDL,Domestic,AA-,2013-09-19,,,,,,
ACS Actividades de Construccion y Servicios SA,S&P,Senior Unsecured,SSU,Domestic,BBB-,2026-07-29,--,,--,,EURUKE,
ACS Actividades de Construccion y Servicios SA,S&P,Senior Unsecured,SSU,Domestic,BB+,2021-03-09,,,,,,
ACS Actividades de Construccion y Servicios SA,S&P,Senior Unsecured,SSU,Domestic,BBB-,2020-06-09,,,,,,
ACS Actividades de Construccion y Servicios SA,S&P,Long-term Issuer Rating,SPI,Foreign,BBB,2026-07-29,--,,STABLE,2026-07-29,EURUKE,
ACS Actividades de Construccion y Servicios SA,S&P,Long-term Issuer Rating,SPI,Foreign,BBB-,2021-03-09,,,,,,
ACS Actividades de Construccion y Servicios SA,S&P,Long-term Issuer Rating,SPI,Foreign,BBB,2017-05-08,,,,,,
ACS Actividades de Construccion y Servicios SA,S&P,Long-term Issuer Rating,SPI,Domestic,BBB,2026-07-29,--,,STABLE,2026-07-29,EURUKE,
ACS Actividades de Construccion y Servicios SA,S&P,Short-term Issuer Credit Rating,SIS,Foreign,A-2,2026-07-29,--,,--,,EURUKE,
ACS Actividades de Construccion y Servicios SA,S&P,Short-term Issuer Credit Rating,SIS,Domestic,A-2,2026-07-29,--,,--,,EURUKE,
ACS Actividades de Construccion y Servicios SA,Egan-Jones,Senior Unsecured,EJU,Foreign,BB,2023-10-19,--,,--,,--,2024-10-31
ACS Actividades de Construccion y Servicios SA,Egan-Jones,Senior Unsecured,EJU,Foreign,BB+,2019-04-11,,,,,,
ACS Actividades de Construccion y Servicios SA,Egan-Jones,Senior Unsecured,EJU,Foreign,BB,2018-07-11,,,,,,
ACS Actividades de Construccion y Servicios SA,Egan-Jones,Senior Unsecured,EJU,Foreign,BB-,2016-11-03,,,,,,
ACS Actividades de Construccion y Servicios SA,Egan-Jones,Senior Unsecured,EJU,Domestic,BB,2023-10-19,--,,--,,--,2024-10-31
ACS Actividades de Construccion y Servicios SA,Egan-Jones,Senior Unsecured,EJU,Domestic,BB+,2019-04-11,,,,,,
ACS Actividades de Construccion y Servicios SA,Egan-Jones,Senior Unsecured,EJU,Domestic,BB,2018-07-11,,,,,,
ACS Actividades de Construccion y Servicios SA,Egan-Jones,Senior Unsecured,EJU,Domestic,BB-,2016-11-03,,,,,,
ACS Actividades de Construccion y Servicios SA,Egan-Jones,Commercial Paper,EJC,Foreign,NR,2023-10-19,--,,--,,--,2024-10-31
ACS Actividades de Construccion y Servicios SA,Egan-Jones,Commercial Paper,EJC,Foreign,A1,2022-08-10,,,,,,
ACS Actividades de Construccion y Servicios SA,Egan-Jones,Commercial Paper,EJC,Foreign,A2,2017-12-21,,,,,,
ACS Actividades de Construccion y Servicios SA,Egan-Jones,Commercial Paper,EJC,Foreign,A3,2017-10-12,,,,,,
ACS Actividades de Construccion y Servicios SA,Egan-Jones,Commercial Paper,EJC,Foreign,A2,2016-11-23,,,,,,
ACS Actividades de Construccion y Servicios SA,Egan-Jones,Commercial Paper,EJC,Foreign,A3,2016-11-03,,,,,,
ACS Actividades de Construccion y Servicios SA,Egan-Jones,Commercial Paper,EJC,Domestic,NR,2023-10-19,--,,--,,--,2024-10-31
ACS Actividades de Construccion y Servicios SA,Egan-Jones,Commercial Paper,EJC,Domestic,A1,2022-08-10,,,,,,
ACS Actividades de Construccion y Servicios SA,Egan-Jones,Commercial Paper,EJC,Domestic,A2,2017-12-21,,,,,,
ACS Actividades de Construccion y Servicios SA,Egan-Jones,Commercial Paper,EJC,Domestic,A3,2017-10-12,,,,,,
ACS Actividades de Construccion y Servicios SA,Egan-Jones,Commercial Paper,EJC,Domestic,A2,2016-11-23,,,,,,
ACS Actividades de Construccion y Servicios SA,Egan-Jones,Commercial Paper,EJC,Domestic,A3,2016-11-03,,,,,,
Abb Ltd,S&P,Short-term Issuer National Scale Rating,STN,Domestic,NR,2014-12-24,--,,--,,--,
Abb Ltd,S&P,Senior Unsecured,SSU,Domestic,A,2024-03-28,--,,--,,EURUKE,2024-09-15
Abb Ltd,S&P,Senior Unsecured,SSU,Domestic,A-,2020-11-12,,,,,,
Abb Ltd,S&P,Senior Unsecured,SSU,Domestic,A,2012-05-17,,,,,,
Abb Ltd,S&P,Long-term Issuer Rating,SPI,Foreign,A,2024-03-28,--,,STABLE,2024-03-28,EURUKE,2024-09-15
Abb Ltd,S&P,Long-term Issuer Rating,SPI,Domestic,A,2024-03-28,--,,STABLE,2024-03-28,EURUKE,2024-09-15
Abb Ltd,S&P,Short-term Issuer Credit Rating,SIS,Foreign,A-1,2024-03-28,--,,--,,EURUKE,2024-09-15
Abb Ltd,S&P,Short-term Issuer Credit Rating,SIS,Domestic,A-1,2024-03-28,--,,--,,EURUKE,2024-09-15
Abb Ltd,Moody's,Senior Unsecured,MSU,Foreign,WR,2013-05-26,--,,--,,--,
Abb Ltd,Moody's,Senior Unsecured,MSU,Foreign,A2,2011-10-07,,,,,,
Abb Ltd,Moody's,Senior Unsecured,MSU,Domestic,A2,2024-03-19,--,,--,,EURUKE,
Abb Ltd,Moody's,Senior Unsecured,MSU,Domestic,A3,2020-04-08,,,,,,
Abb Ltd,Moody's,Senior Unsecured,MSU,Domestic,A2,2011-10-07,,,,,,
Abb Ltd,Moody's,Short-term Issuer Rating,MSS,Foreign,P-1,2024-03-19,--,,--,,EURUKE,
Abb Ltd,Moody's,Short-term Issuer Rating,MSS,Foreign,P-2,2020-04-08,,,,,,
Abb Ltd,Moody's,Short-term Issuer Rating,MSS,Foreign,P-1,2011-06-01,,,,,,
Abb Ltd,Moody's,Short-term Issuer Rating,MSS,Foreign,P-2,2006-12-19,,,,,,
Abb Ltd,Moody's,Short-term Issuer Rating,MSS,Foreign,P-3,2006-04-12,,,,,,
Abb Ltd,Moody's,Short-term Issuer Rating,MSS,Foreign,NP,2002-10-31,,,,,,
Abb Ltd,Moody's,Short-term Issuer Rating,MSS,Domestic,P-1,2024-03-19,--,,--,,EURUKE,
Abb Ltd,Moody's,Short-term Issuer Rating,MSS,Domestic,P-2,2020-04-08,,,,,,
Abb Ltd,Moody's,Short-term Issuer Rating,MSS,Domestic,P-1,2011-06-01,,,,,,
Abb Ltd,Moody's,Short-term Issuer Rating,MSS,Domestic,P-2,2006-12-19,,,,,,
Abb Ltd,Moody's,Short-term Issuer Rating,MSS,Domestic,P-3,2006-04-12,,,,,,
Abb Ltd,Moody's,Short-term Issuer Rating,MSS,Domestic,NP,2002-10-31,,,,,,
Abb Ltd,Moody's,Most Recent Short-term Rating,MRS,Foreign,P-1,2024-03-19,--,,STA,2024-03-19,EURUKE,
Abb Ltd,Moody's,Most Recent Short-term Rating,MRS,Domestic,P-1,2024-03-19,--,,STA,2024-03-19,EURUKE,
Abb Ltd,Moody's,Long-term Issuer Rating,MIS,Foreign,A2,2024-03-19,--,,--,,EURUKE,
Abb Ltd,Moody's,Long-term Issuer Rating,MIS,Foreign,A3,2020-04-08,,,,,,
Abb Ltd,Moody's,Long-term Issuer Rating,MIS,Foreign,A2,2011-06-01,,,,,,
Abb Ltd,Moody's,Long-term Issuer Rating,MIS,Foreign,A3,2008-01-21,,,,,,
Abb Ltd,Moody's,Long-term Issuer Rating,MIS,Foreign,Baa1,2006-12-19,,,,,,
Abb Ltd,Moody's,Long-term Issuer Rating,MIS,Foreign,Baa3,2006-04-12,,,,,,
Abb Ltd,Moody's,Long-term Issuer Rating,MIS,Foreign,Ba2,2004-05-18,,,,,,
Abb Ltd,Moody's,Long-term Issuer Rating,MIS,Foreign,B1,2002-12-20,,,,,,
Abb Ltd,Moody's,Long-term Issuer Rating,MIS,Foreign,Ba2,2002-10-31,,,,,,
Abb Ltd,Moody's,Long-term Issuer Rating,MIS,Foreign,Baa3,2002-10-22,,,,,,
Abb Ltd,Moody's,Long-term Issuer Rating,MIS,Foreign,Baa2,2002-03-25,,,,,,
Abb Ltd,Moody's,Long-term Issuer Rating,MIS,Foreign,A3,2002-03-15,,,,,,
Abb Ltd,Moody's,Long-term Issuer Rating,MIS,Foreign,A2,2001-12-19,,,,,,
Abb Ltd,Moody's,Long-term Issuer Rating,MIS,Foreign,Aa3,2001-05-21,,,,,,
Abb Ltd,Moody's,Long-term Issuer Rating,MIS,Foreign,Aa2,2000-02-07,,,,,,
Abb Ltd,Moody's,Long-term Issuer Rating,MIS,Domestic,A2,2024-03-19,--,,--,,EURUKE,
Abb Ltd,Moody's,Long-term Issuer Rating,MIS,Domestic,A3,2020-04-08,,,,,,
Abb Ltd,Moody's,Long-term Issuer Rating,MIS,Domestic,A2,2011-06-01,,,,,,
Abb Ltd,Moody's,Long-term Issuer Rating,MIS,Domestic,A3,2008-01-21,,,,,,
Abb Ltd,Moody's,Long-term Issuer Rating,MIS,Domestic,Baa1,2006-12-19,,,,,,
Abb Ltd,Moody's,Long-term Issuer Rating,MIS,Domestic,Baa3,2006-04-12,,,,,,
Abb Ltd,Moody's,Long-term Issuer Rating,MIS,Domestic,Ba2,2004-05-18,,,,,,
Abb Ltd,Moody's,Long-term Issuer Rating,MIS,Domestic,B1,2002-12-20,,,,,,
Abb Ltd,Moody's,Long-term Issuer Rating,MIS,Domestic,Ba2,2002-10-31,,,,,,
Abb Ltd,Moody's,Long-term Issuer Rating,MIS,Domestic,Baa3,2002-10-22,,,,,,
Abb Ltd,Moody's,Long-term Issuer Rating,MIS,Domestic,Baa2,2002-03-25,,,,,,
Abb Ltd,Moody's,Long-term Issuer Rating,MIS,Domestic,A3,2002-03-15,,,,,,
Abb Ltd,Moody's,Long-term Issuer Rating,MIS,Domestic,A2,2001-12-19,,,,,,
Abb Ltd,Moody's,Long-term Issuer Rating,MIS,Domestic,Aa3,2001-05-21,,,,,,
Abb Ltd,Moody's,Long-term Issuer Rating,MIS,Domestic,Aa2,2000-02-07,,,,,,
Abb Ltd,Moody's,Derived Long-term Issuer Rating,MDL,Foreign,A2,2024-03-19,--,,STA,2024-03-19,EURUKE,
Abb Ltd,Moody's,Derived Long-term Issuer Rating,MDL,Domestic,A2,2024-03-19,--,,STA,2024-03-19,EURUKE,
Abb Ltd,Moody's,Corporate Family Rating,MCF,Domestic,WR,2006-04-12,--,,--,,--,
Abb Ltd,Moody's,Corporate Family Rating,MCF,Domestic,Ba2,2004-05-18,,,,,,
Abb Ltd,Fitch,Senior Unsecured,FSU,Foreign,WD,2014-05-02,--,,--,,EUR,
Abb Ltd,Fitch,Senior Unsecured,FSU,Foreign,BBB+,2007-01-17,,,,,,
Abb Ltd,Fitch,Senior Unsecured,FSU,Domestic,WD,2021-10-11,--,,--,,EURUKE,
Abb Ltd,Fitch,Senior Unsecured,FSU,Domestic,A-,2016-11-07,,,,,,
Abb Ltd,Fitch,Senior Unsecured,FSU,Domestic,WD,2016-10-11,,,,,,
Abb Ltd,Fitch,Senior Unsecured,FSU,Domestic,A-,2014-05-02,,,,,,
Abb Ltd,Fitch,Short-term Issuer Rating,FSS,Foreign,WD,2007-06-12,--,,--,,--,
Abb Ltd,Fitch,Short-term Issuer Rating,FSS,Foreign,F2,2007-01-17,,,,,,
Abb Ltd,Fitch,Short-term Issuer Default Rating,FDS,Foreign,WD,2022-01-28,--,,--,,EURUKE,
Abb Ltd,Fitch,Short-term Issuer Default Rating,FDS,Foreign,F1,2019-09-17,,,,,,
Abb Ltd,Fitch,Short-term Issuer Default Rating,FDS,Foreign,F2,2007-01-17,,,,,,
Abb Ltd,Fitch,Long-term Issuer Default Rating,FDL,Foreign,WD,2022-01-28,--,,--,,EURUKE,
Abb Ltd,Fitch,Long-term Issuer Default Rating,FDL,Foreign,A-,2014-05-01,,,,,,
Abb Ltd,Fitch,Long-term Issuer Default Rating,FDL,Foreign,BBB+,2007-01-17,,,,,,
Abb Ltd,Egan-Jones,Senior Unsecured,EJU,Foreign,A-,2019-11-05,--,,--,,--,2024-11-12
Abb Ltd,Egan-Jones,Senior Unsecured,EJU,Foreign,A,2019-08-12,,,,,,
Abb Ltd,Egan-Jones,Senior Unsecured,EJU,Foreign,A+,2017-02-28,,,,,,
Abb Ltd,Egan-Jones,Senior Unsecured,EJU,Foreign,A,2016-04-27,,,,,,
Abb Ltd,Egan-Jones,Senior Unsecured,EJU,Domestic,A,2026-07-21,--,,--,,--,
Abb Ltd,Egan-Jones,Senior Unsecured,EJU,Domestic,A-,2019-11-05,,,,,,
Abb Ltd,Egan-Jones,Senior Unsecured,EJU,Domestic,A,2019-08-12,,,,,,
Abb Ltd,Egan-Jones,Senior Unsecured,EJU,Domestic,A+,2017-02-28,,,,,,
Abb Ltd,Egan-Jones,Senior Unsecured,EJU,Domestic,A,2016-02-17,,,,,,
Abb Ltd,Egan-Jones,Commercial Paper,EJC,Foreign,A1+,2022-08-18,--,,--,,--,2024-11-12
Abb Ltd,Egan-Jones,Commercial Paper,EJC,Foreign,A1,2019-11-05,,,,,,
Abb Ltd,Egan-Jones,Commercial Paper,EJC,Foreign,A1+,2016-04-27,,,,,,
Abb Ltd,Egan-Jones,Commercial Paper,EJC,Domestic,A1+,2022-05-06,--,,--,,--,2026-07-21
Abb Ltd,Egan-Jones,Commercial Paper,EJC,Domestic,A1,2019-11-05,,,,,,
Abb Ltd,Egan-Jones,Commercial Paper,EJC,Domestic,A1+,2016-02-17,,,,,,
Acquirente Unico SpA,S&P,Senior Unsecured,SSU,Domestic,BBB+,2025-04-16,--,,--,,EURUKE,2026-02-05
Acquirente Unico SpA,S&P,Senior Unsecured,SSU,Domestic,BBB,2019-02-01,,,,,,
Acquirente Unico SpA,S&P,Long-term Issuer Rating,SPI,Foreign,BBB+,2025-04-16,--,,POSITIVE,2026-02-03,EURUKE,2026-02-03
Acquirente Unico SpA,S&P,Long-term Issuer Rating,SPI,Domestic,BBB+,2025-04-16,--,,POSITIVE,2026-02-03,EURUKE,2026-02-03
Adecco Group AG,S&P,Senior Unsecured,SSU,Domestic,BBB,2025-11-17,--,,--,,EUEUKR,
Adecco Group AG,S&P,Senior Unsecured,SSU,Domestic,BBB+,2020-05-06,,,,,,
Adecco Group AG,S&P,Long-term Issuer Rating,SPI,Foreign,BBB,2025-11-17,--,,STABLE,2025-11-17,EUEUKR,
Adecco Group AG,S&P,Long-term Issuer Rating,SPI,Domestic,BBB,2025-11-17,--,,STABLE,2025-11-17,EUEUKR,
Adecco Group AG,S&P,Long-term Senior Unsecured MTN Rating,SMU,Foreign,BBB,2025-11-17,--,,--,,EUEUKR,
Adecco Group AG,S&P,Long-term Senior Unsecured MTN Rating,SMU,Foreign,BBB+,2014-06-23,,,,,,
Adecco Group AG,S&P,Short-term Issuer Credit Rating,SIS,Foreign,A-2,2011-10-12,--,,--,,EUEUKR,2025-11-17
Adecco Group AG,S&P,Short-term Issuer Credit Rating,SIS,Domestic,A-2,2011-10-12,--,,--,,EUEUKR,2025-11-17
Adecco Group AG,Moody's,Senior Unsecured,MSU,Foreign,WR,2016-02-08,--,,--,,--,
Adecco Group AG,Moody's,Senior Unsecured,MSU,Foreign,Baa3,2012-01-20,,,,,,
Adecco Group AG,Moody's,Senior Unsecured,MSU,Domestic,Baa1,2018-09-11,--,,--,,EUEUKR,2024-09-27
Adecco Group AG,Moody's,Senior Unsecured,MSU,Domestic,WR,2016-02-08,,,,,,
Adecco Group AG,Moody's,Senior Unsecured,MSU,Domestic,Baa1,2015-07-22,,,,,,
Adecco Group AG,Moody's,Senior Unsecured,MSU,Domestic,Baa2,2014-11-17,,,,,,
Adecco Group AG,Moody's,Senior Unsecured,MSU,Domestic,Baa3,2012-01-20,,,,,,
Adecco Group AG,Moody's,Long-term Senior Unsecured MTN Rating,MMU,Foreign,(P)Baa1 *,2015-07-22,--,,--,,EUEUKR,2024-09-27
Adecco Group AG,Moody's,Long-term Senior Unsecured MTN Rating,MMU,Foreign,(P)Baa2,2014-11-17,,,,,,
Adecco Group AG,Moody's,Long-term Senior Unsecured MTN Rating,MMU,Foreign,(P)Baa3,2014-03-18,,,,,,
Adecco Group AG,Moody's,Long-term Issuer Rating,MIS,Foreign,Baa1,2015-07-22,--,,--,,EUEUKR,2024-09-27
Adecco Group AG,Moody's,Long-term Issuer Rating,MIS,Foreign,Baa2,2014-11-17,,,,,,
Adecco Group AG,Moody's,Long-term Issuer Rating,MIS,Foreign,Baa3,2009-10-20,,,,,,
Adecco Group AG,Moody's,Long-term Issuer Rating,MIS,Foreign,Baa2,2006-11-09,,,,,,
Adecco Group AG,Moody's,Long-term Issuer Rating,MIS,Foreign,Baa3,2005-12-22,,,,,,
Adecco Group AG,Moody's,Derived Long-term Issuer Rating,MDL,Foreign,Baa1,2024-09-27,--,,STA,2024-09-27,EUEUKR,
Adecco Group AG,Moody's,Corporate Family Rating,MCF,Domestic,WR,2005-12-22,--,,--,,--,
Adecco Group AG,Moody's,Corporate Family Rating,MCF,Domestic,Baa3,2005-03-03,,,,,,
Adecco Group AG,Moody's,Corporate Family Rating,MCF,Domestic,Ba1,2004-04-20,,,,,,
Adecco Group AG,Egan-Jones,Senior Unsecured,EJU,Foreign,NR,2024-05-21,--,,--,,--,
Adecco Group AG,Egan-Jones,Senior Unsecured,EJU,Foreign,BBB,2022-07-27,,,,,,
Adecco Group AG,Egan-Jones,Senior Unsecured,EJU,Foreign,A-,2017-04-21,,,,,,
Adecco Group AG,Egan-Jones,Senior Unsecured,EJU,Foreign,BBB+,2016-03-24,,,,,,
Adecco Group AG,Egan-Jones,Senior Unsecured,EJU,Domestic,NR,2024-05-21,--,,--,,--,
Adecco Group AG,Egan-Jones,Senior Unsecured,EJU,Domestic,BBB,2022-07-27,,,,,,
Adecco Group AG,Egan-Jones,Senior Unsecured,EJU,Domestic,A-,2017-04-21,,,,,,
Adecco Group AG,Egan-Jones,Senior Unsecured,EJU,Domestic,BBB+,2015-12-10,,,,,,
Adecco Group AG,Egan-Jones,Commercial Paper,EJC,Foreign,NR,2024-05-21,--,,--,,--,
Adecco Group AG,Egan-Jones,Commercial Paper,EJC,Foreign,A1,2019-06-20,,,,,,
Adecco Group AG,Egan-Jones,Commercial Paper,EJC,Foreign,A1+,2019-01-24,,,,,,
Adecco Group AG,Egan-Jones,Commercial Paper,EJC,Foreign,A1,2016-03-24,,,,,,
Adecco Group AG,Egan-Jones,Commercial Paper,EJC,Domestic,NR,2024-05-21,--,,--,,--,
Adecco Group AG,Egan-Jones,Commercial Paper,EJC,Domestic,A1,2019-06-20,,,,,,
Adecco Group AG,Egan-Jones,Commercial Paper,EJC,Domestic,A1+,2019-01-24,,,,,,
Adecco Group AG,Egan-Jones,Commercial Paper,EJC,Domestic,A1,2015-12-10,,,,,,
Adidas AG,S&P,Senior Unsecured,SSU,Domestic,A,2025-06-05,--,,--,,EURUKE,
Adidas AG,S&P,Senior Unsecured,SSU,Domestic,A-,2023-02-21,,,,,,
Adidas AG,S&P,Senior Unsecured,SSU,Domestic,A+,2020-09-02,,,,,,
Adidas AG,S&P,Long-term Issuer Rating,SPI,Foreign,A,2025-06-05,--,,STABLE,2025-06-05,EURUKE,
Adidas AG,S&P,Long-term Issuer Rating,SPI,Domestic,A,2025-06-05,--,,STABLE,2025-06-05,EURUKE,
Adidas AG,S&P,Short-term Issuer Credit Rating,SIS,Foreign,A-1,2025-06-05,--,,--,,EURUKE,
Adidas AG,S&P,Short-term Issuer Credit Rating,SIS,Domestic,A-1,2025-06-05,--,,--,,EURUKE,
Adidas AG,Moody's,Senior Unsecured,MSU,Domestic,A3,2023-02-17,--,,--,,EURUKE,2024-12-10
Adidas AG,Moody's,Senior Unsecured,MSU,Domestic,A2,2020-09-01,,,,,,
Adidas AG,Moody's,Short-term Issuer Rating,MSS,Foreign,P-2,2023-02-17,--,,--,,EURUKE,2024-12-10
Adidas AG,Moody's,Short-term Issuer Rating,MSS,Foreign,P-1,2020-08-06,,,,,,
Adidas AG,Moody's,Short-term Issuer Rating,MSS,Domestic,P-2,2023-02-17,--,,--,,EURUKE,2024-12-10
Adidas AG,Moody's,Short-term Issuer Rating,MSS,Domestic,P-1,2020-08-06,,,,,,
Adidas AG,Moody's,Most Recent Short-term Rating,MRS,Foreign,P-2,2024-12-10,--,,STA,2024-12-10,EURUKE,
Adidas AG,Moody's,Long-term Issuer Rating,MIS,Foreign,A3,2023-02-17,--,,--,,EURUKE,2024-12-10
Adidas AG,Moody's,Long-term Issuer Rating,MIS,Foreign,A2,2020-08-06,,,,,,
Adidas AG,Moody's,Long-term Issuer Rating,MIS,Domestic,A3,2023-02-17,--,,--,,EURUKE,2024-12-10
Adidas AG,Moody's,Long-term Issuer Rating,MIS,Domestic,A2,2020-08-06,,,,,,
Adidas AG,Moody's,Derived Long-term Issuer Rating,MDL,Foreign,A3,2024-12-10,--,,STA,2024-12-10,EURUKE,
Adidas AG,Egan-Jones,Senior Unsecured,EJU,Foreign,BBB+,2023-06-06,--,,--,,--,2024-11-27
Adidas AG,Egan-Jones,Senior Unsecured,EJU,Foreign,A-,2022-06-28,,,,,,
Adidas AG,Egan-Jones,Senior Unsecured,EJU,Foreign,BBB,2020-03-31,,,,,,
Adidas AG,Egan-Jones,Senior Unsecured,EJU,Foreign,A+,2016-03-28,,,,,,
Adidas AG,Egan-Jones,Senior Unsecured,EJU,Domestic,BBB+,2023-06-06,--,,--,,--,2026-07-09
Adidas AG,Egan-Jones,Senior Unsecured,EJU,Domestic,A-,2022-06-28,,,,,,
Adidas AG,Egan-Jones,Senior Unsecured,EJU,Domestic,BBB,2020-03-31,,,,,,
Adidas AG,Egan-Jones,Senior Unsecured,EJU,Domestic,A+,2015-12-10,,,,,,
Adidas AG,Egan-Jones,Commercial Paper,EJC,Foreign,A1,2023-06-06,--,,--,,--,2024-11-27
Adidas AG,Egan-Jones,Commercial Paper,EJC,Foreign,A1+,2022-06-28,,,,,,
Adidas AG,Egan-Jones,Commercial Paper,EJC,Foreign,A1,2020-03-31,,,,,,
Adidas AG,Egan-Jones,Commercial Paper,EJC,Foreign,A1+,2016-03-28,,,,,,
Adidas AG,Egan-Jones,Commercial Paper,EJC,Domestic,A1,2023-06-06,--,,--,,--,2026-07-09
Adidas AG,Egan-Jones,Commercial Paper,EJC,Domestic,A1+,2022-06-28,,,,,,
Adidas AG,Egan-Jones,Commercial Paper,EJC,Domestic,A1,2020-03-31,,,,,,
Adidas AG,Egan-Jones,Commercial Paper,EJC,Domestic,A1+,2015-12-10,,,,,,
Adler Pelzer Holding GmbH,Fitch,Senior Secured,FSE,Domestic,B,2023-06-26,Neg,2026-06-10,--,,EURUKE,2026-06-10
